id,index,location,match_id,minute,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,team,team_id,timestamp_original,type,half,kickoff_time,event_time,timestamp,pass_no_touch,timestamp_seconds,uefa_match_id,uefa_player_id,GameID,Half,BallReceipt,SceneNr,BallReceipt_original,BallReceipt_time_difference,ball_x,ball_y,ball_z,ball_speed,acceleration,angle_change,acceleration_score,direction_change_score,total_score,z_ball,z_ball_max,xy_ball_movement,3m_reaction_time
6e8021fe-fec1-4fb7-89fc-845585076296,63,"[15.5, 43.4]",3835319,0,,-3.0746198,,Right Foot,,,"[15.5, 43.4]",,Ground Pass,32.8737,Manuela Zinsberger,10237,,,,,Recovery,1,Regular Play,Manuela Zinsberger,10237,Goalkeeper,4,Austria Women's,859,['af47235f-0677-4a84-973c-373b81f39bdd'],48,Austria Women's,859,00:48.1,Ball Receipt*,1,0 days 00:00:00.118000,0 days 00:00:48.107000,00:48.0,,47.989,2032206,250017366,2032206,1,48.09649,1,47.989,-0.10749,38.47363796,2.227355361,0.167041511,2.130043138,-98.14006469,168.0433183,50,50,100,0.167041511,0.198380699,0.591623001,0.479981
1f374a9a-f646-4236-a002-18d3a792c52a,66,"[26.3, 62.9]",3835319,0,,0.95360494,,Left Foot,,,"[26.3, 62.9]",,Ground Pass,19.006578,Carina Wenninger,10241,,,,,,1,Regular Play,Carina Wenninger,10241,Right Center Back,4,Austria Women's,859,['405c0b79-5b76-4ef6-a232-be2139d8df0a'],51,Austria Women's,859,00:51.3,Ball Receipt*,1,0 days 00:00:00.118000,0 days 00:00:51.282000,00:51.2,,51.164,2032206,107067,2032206,1,51.136295,2,51.164,0.027705,26.74494435,19.96204872,0.103667229,3.174201776,-53.97825791,41.17586471,45.32871238,39.33905076,84.66776314,0.103667229,0.109578068,0.75858328,0.479967
684ac892-5aa3-4ad9-b205-5c55748c49a5,72,"[18.5, 28.9]",3835319,1,,-1.2924967,,Right Foot,,,"[18.5, 28.9]",,Ground Pass,13.832209,Viktoria Schnaderbeck,10235,,,,,,1,Regular Play,Viktoria Schnaderbeck,10235,Left Center Back,4,Austria Women's,859,['dda2924b-098e-4033-9b13-c9ddb1bc14f0'],0,Austria Women's,859,01:00.3,Ball Receipt*,1,0 days 00:00:00.118000,0 days 00:01:00.263000,01:00.1,,60.145,2032206,107065,2032206,1,60.29564,3,60.145,-0.15064,34.54672445,-12.71657567,0.13289352,2.281941193,-38.48510083,16.90198088,41.48394588,29.91739223,71.40133811,0.13289352,0.165787954,0.668720255,0.479957
163fd314-4c45-4b46-a942-54af04779c20,105,"[65.2, 62.9]",3835319,2,,-0.38402006,,Right Foot,,,"[65.2, 62.9]",,Low Pass,26.42461,Barbara Dunst,43046,,,,,,1,From Keeper,Barbara Dunst,43046,Right Wing,6,Austria Women's,859,['cdf9eec6-41bc-4c01-b170-3caaafe2e643'],30,Austria Women's,859,02:30.6,Ball Receipt*,1,0 days 00:00:00.118000,0 days 00:02:30.583000,02:30.5,,150.465,2032206,250056786,2032206,1,150.40922,4,150.465,0.05578,-1.518847014,20.13438955,0.300571182,8.705073055,-144.6913798,133.1346512,50,50,100,0.300571182,0.454931601,1.457799482,0.199988
018a39a5-fa1f-4d7b-aa71-6203b8562808,123,"[77.4, 30.2]",3835319,2,,-1.3382394,,Right Foot,,,"[77.4, 30.2]",,Ground Pass,7.81025,Verena Hanshaw,10248,,,,,Recovery,1,From Keeper,Verena Hanshaw,10248,Left Back,6,Austria Women's,859,['574b2e6e-2556-4a1c-a2ad-f5401859e521'],49,Austria Women's,859,02:49.6,Ball Receipt*,1,0 days 00:00:00.118000,0 days 00:02:49.571000,02:49.5,,169.453,2032206,250013126,2032206,1,169.807833,5,169.453,-0.354833,-16.89372653,-10.73163764,0.162617647,1.887991554,-26.71488115,6.047613935,37.33528648,19.04246334,56.37774983,0.162617647,0.193217369,0.790172531,0.47997
44344bf3-8e6c-4bb4-886b-090c8f60969c,129,"[77.0, 58.1]",3835319,2,,1.5229859,,Left Foot,,,"[77.0, 58.1]",,Ground Pass,20.92391,Barbara Dunst,43046,,,,,Recovery,1,From Keeper,Barbara Dunst,43046,Right Wing,6,Austria Women's,859,['21387662-eb12-4044-98f8-16f61224323f'],56,Austria Women's,859,02:56.0,Ball Receipt*,1,0 days 00:00:00.118000,0 days 00:02:56.023000,02:55.9,,175.905,2032206,250056786,2032206,1,175.967391,6,175.905,-0.062391,-14.90572382,12.34162793,0.138408011,3.501492463,-75.19474478,1.969663838,49.09608414,7.17255032,56.26863446,0.138408011,0.138095184,2.667365056,0.43997
9ecf512b-56a9-4caa-ab8f-c2255c2f5d0d,153,"[21.1, 53.6]",3835319,3,,1.2595166,,Right Foot,,,"[21.1, 53.6]",,Ground Pass,24.161125,Carina Wenninger,10241,,,,,,1,From Keeper,Carina Wenninger,10241,Right Center Back,7,Austria Women's,859,['c93a04a5-089a-4685-b20b-4246ae0aea0c'],20,Austria Women's,859,03:20.0,Ball Receipt*,1,0 days 00:00:00.118000,0 days 00:03:20.025000,03:19.9,,199.907,2032206,107067,2032206,1,200.285539,7,199.907,-0.378539,31.44199367,10.47466729,0.132557644,2.858582816,-42.36701138,62.2042696,42.57607283,43.70451894,86.28059177,0.132557644,0.137560046,1.400257168,0.479963
ed9964a2-c020-4f87-8316-296f8b0a4d4b,159,"[32.5, 29.4]",3835319,3,,-2.153873,,Left Foot,,,"[32.5, 29.4]",,Ground Pass,11.2605505,Viktoria Schnaderbeck,10235,,,,,,1,From Keeper,Viktoria Schnaderbeck,10235,Left Center Back,7,Austria Women's,859,['5f96888b-749d-42e8-a076-d3aa0de86ab8'],25,Austria Women's,859,03:25.4,Ball Receipt*,1,0 days 00:00:00.118000,0 days 00:03:25.400000,03:25.3,,205.282,2032206,107065,2032206,1,205.60516,8,205.282,-0.32316,23.66944147,-14.8820096,0.135687281,2.122721228,-30.18667179,1.671440375,38.72381283,5.435371948,44.15918477,0.135687281,0.148009266,0.87878433,0.479969
1481ea64-feec-49bf-b8fd-92632ea4ada1,163,"[65.0, 20.5]",3835319,3,,0,,Left Foot,,,"[65.0, 20.5]",,Ground Pass,16.5,Katharina Naschenweng,43039,,,,,,1,From Keeper,Katharina Naschenweng,43039,Left Wing,7,Austria Women's,859,['eb488ccc-8b30-4f65-9153-cdf77444f1da'],30,Austria Women's,859,03:30.4,Ball Receipt*,1,0 days 00:00:00.118000,0 days 00:03:30.395000,03:30.3,,210.277,2032206,250056794,2032206,1,210.124834,9,210.277,0.152166,-1.162478482,-20.8418843,0.164835667,4.502624709,-177.8027799,1.366848302,50,3.306681017,53.30668102,0.164835667,0.153615345,1.867626933,0.279984
97493a9e-6601-46a0-8a5d-f1a87d7242d4,237,"[70.8, 72.3]",3835319,5,,1.2319325,,Right Foot,,,"[70.8, 72.3]",,Ground Pass,25.87122,Lucy Bronze,10178,,,,,,1,From Throw In,Lucy Bronze,10178,Right Back,12,England Women's,865,['b571eaf6-6b60-45af-a2fb-2ca0929bf7b4'],46,England Women's,865,05:46.2,Ball Receipt*,1,0 days 00:00:00.118000,0 days 00:05:46.178000,05:46.1,,346.06,2032206,1908144,2032206,1,345.755276,10,346.06,0.304724,10.95996359,-28.21447944,0.097350083,2.22457641,-134.829567,125.9034158,50,50,100,0.097350083,0.134160898,0.198007435,0.359981
